"","Article","Noun","Translation"
"1","das","Jahr","year"
"2","das","Mal","time"
"3","das","Beispiel","example"
"4","die","Zeit","time (hour)"
"5","die","Frau","woman, wife, Mrs."
"6","der","Mensch","human being, man"
"7","das","Deutsch","German"
"8","das","Kind","child"
"9","der","Tag","day"
"10","der","Mann","man"
"11","das","Land","land, country, state"
"12","die","Frage","question"
"13","das","Haus","house"
"14","der","Fall","fall, case"
"15","die","Leute","people"
"16","die","Arbeit","work"
"17","das","Prozent","percent"
"18","die","Hand","hand"
"19","die","Stadt","city, town"
"20","der","Herr","man, Mr."
"21","der","Teil","part"
"22","das","Problem","problem"
"23","die","Welt","world"
"24","das","Recht","right, law"
"25","das","Ende","end"
"26","die","Million","million"
"27","die","Schule","school"
"28","die","Woche","week"
"29","der","Vater","father"
"30","die","Seite","side, page"
"31","das","Leben","life"
"32","die","Mutter","mother"
"33","der","Grund","reason, basis"
"34","das","Auge","eye"
"35","das","Wort","word"
"36","das","Geld","money"
"37","die","Art","type, kind"
"38","der","Bereich","area, region"
"39","der","Weg","path, way"
"40","die","Stunde","hour"
"41","der","Name","name"
"42","die","Geschichte","history, story"
"43","die","Gesellschaft","society, company"
"44","der","Kopf","head"
"45","das","Paar","pair, couple"
"46","die","Möglichkeit","possibility"
"47","das","Unternehmen","enterprise, company"
"48","das","Bild","picture"
"49","das","Buch","book"
"50","das","Wasser","water"
"51","die","Stelle","place"
"52","die","Form","form, shape"
"53","die","Entwicklung","development"
"54","der","Monat","month"
"55","die","Familie","family"
"56","der","Morgen","morning"
"57","der","Abend","evening"
"58","die","Aufgabe","task, assignment, job"
"59","die","Universität","university"
"60","der","Sinn","sense, meaning"
"61","der","Staat","state"
"62","das","Ziel","destination, goal"
"63","der","Freund","friend"
"64","das","Thema","subject, topic, theme"
"65","die","Person","person"
"66","der","Euro","euro"
"67","die","Nacht","night"
"68","das","Ding","thing"
"69","der","Raum","room, space"
"70","der","Blick","look, view, glance"
"71","der","Platz","place, room, square"
"72","die","Zahl","number"
"73","das","System","system"
"74","die","Uhr","clock, watch, o'clock"
"75","die","Eltern","parents"
"76","die","Straße","street"
"77","die","Minute","minute"
"78","die","Gruppe","group"
"79","der","Wert","value"
"80","das","Gesicht","face"
"81","die","Sprache","language"
"82","der","Anfang","beginning"
"83","der","Ort","place, town, location"
"84","der","Moment","moment"
"85","die","Folge","result, consequence"
"86","das","Interesse","interest"
"87","die","Milliarde","billion"
"88","die","Rolle","role"
"89","die","Tür","door"
"90","der","Schüler","pupil, student"
"91","die","Bedeutung","meaning, significance"
"92","der","Text","text"
"93","das","Ergebnis","result"
"94","der","Krieg","war"
"95","die","Weise","way, manner"
"96","die","Regierung","rule, government"
"97","das","Stück","piece"
"98","die","Wohnung","apartment"
"99","das","Gespräch","conversation"
"100","der","Meter","meter"
